Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
Z3.116,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979","Mon, 1st Apr 2024",
Z3.117,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Tue, 25th Sep 1979","Fri, 28th Jul 2023",
Z3.118,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979","Sat, 30th Mar 2024",
Z3.119,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Mon, 7th Jan 1980","Fri, 29th Mar 2024",
Z3.120,Yarra Trams,,PTV,Scrapped,Yarra Trams Refurbished,"Fri, 21st Dec 1979","Thu, 28th Oct 2021",
Z3.121,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Fri, 21st Dec 1979","Thu, 26th May 2022",
Z3.122,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 29th Jan 1980","Mon, 1st Nov 2021",
Z3.123,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 15th Feb 1980",,
Z3.124,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Fri, 15th Feb 1980","Mon, 8th Apr 2024",
Z3.125,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Fri, 15th Feb 1980",45108,First non-refurb tram to receive YT livery
Z3.126,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Fri, 29th Feb 1980","Wed, 4th Jan 2023",
Z3.127,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 7th Mar 1980",,
Z3.128,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Mar 1980",,
Z3.129,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Thu, 17th Apr 1980","Sat, 30th Mar 2024",
Z3.130,Yarra Trams,,"Advertising Public Transport Victoria ""When a tram stops, you stop."" since Wednesday, 9th November 2022.",Withdrawn,Yarra Trams Refurbished,"Wed, 23rd Apr 1980","Mon, 25th Mar 2024",
Z3.131,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Wed, 30th Apr 1980",,
Z3.132,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Thu, 15th May 1980",,
Z3.133,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Mon, 2nd Jun 1980","Mon, 19th Jul 2021",
Z3.134,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 6th Jun 1980",,
Z3.135,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 17th Jun 1980",,
Z3.136,Yarra Trams,,"Advertising PTV Night Network ""Explore the night"" since Monday, 12th February 2018.",Withdrawn,M>Tram Refurbished,"Fri, 20th Jun 1980","Mon, 15th Mar 2021",at Preston Workshops
Z3.137,Yarra Trams,,Yarra Trams Mk 2,Withdrawn,Yarra Trams Refurbished,"Wed, 2nd Jul 1980","Mon, 15th Mar 2021",at Preston Workshops
Z3.138,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Mon, 14th Jul 1980","Tue, 8th Mar 2022",Retained M>Tram grab handles after internal refurbishment.
Z3.139,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Tue, 22nd Jul 1980","Wed, 21st Dec 2022",
Z3.140,Yarra Trams,,Yarra Trams Mk 2,Withdrawn,Yarra Trams Refurbished,"Tue, 22nd Jul 1980",,
Z3.141,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 1st Aug 1980",,
Z3.142,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 25th Aug 1980",,
Z3.143,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 8th Aug 1980",,
Z3.144,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Fri, 29th Aug 1980","Mon, 5th Jul 2021",
Z3.145,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 25th Aug 1980",,
Z3.146,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 29th Aug 1980",,
Z3.147,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Fri, 29th Aug 1980","Fri, 29th Mar 2024",
